,Elev.m  ,LatAppx ,LongAppx,Slope.deg,AspClass,Asp.deg  ,PDIR,HeatLoad,Landform,TopoClass,DrainageClass,SoilSeriesName,SoilGroupName,AHoriz ,B1Horiz,B2Horiz,B3Horiz,BHoriz ,GrazCurr,GrazPast,NotLogged,Quga.gt60cm,LogQuga.gt60cm ,TreeHt.m ,SppRich ,ThilTypeCode,FlxB.0.25,Abgr.s,Abgr.t,Acar,Acgld.t,Acma.s,Acma.t,Acmi,Adbi,Agha,Agre,Agse,Agte,Aica,ALL,Alpr,Amal.s,Amal.t,Apan,Aqfo,Arel,Arme.s,Arme.t,Avfa,Beaq.s,Brco,Brla,Brpu,Brri,Brse,Brst,Brvu,Caqu,CAR,Cato,Cear,Ceum,Ceve.s,Cipa,Civu,Coco.s,Coco.t,Cogr,Conu.s,Conu.t,CORY.t,Cost,Crca,Crdo.s,Crdo.t,Crox.s,Cyec,Cyfo,Cygr,Daca,Dacar,Dagl,Deel,Diar,Doel,Drar,Elgl,Erla,Erog,Eucr,Feca,Fede,Feel,Feme,Feoc,Feru,Frbr,Frcu,Frla.s,Frla.t,Frvi,GAL,Gema,Geog,Gepu,Haob,Haun,Hehe.s,Heke,Hemi,Hodi.s,Hola,Hyoc,Hype,Hyra,Irte,JUNC,Kocr,Laco,Lapo,Lasa,Liap,Libu,Lico,Lide.s,Lide.t,LILI,Loci.s,Lope,LOT,Lotr,Lumu,Maex,MAL.s,MAL.t,Maor,Mebu,Mila,Mope,Mosi,Nepa,ONGR,Osce.s,Osce.t,Osnu,Phca.s,Phle.s,Phpr,Phvi.s,Pipo.s,Pipo.t,Plla,Poco,Pogl,Pogr,Pomu,Popr,Povu,Prav.s,Prav.t,Prde.s,Prde.t,Prvu,Psme.s,Psme.t,Ptan,Ptaq,Pyco.s,Pyco.t,Pyfu.s,Pyfu.t,Quga.s,Quga.t,Raoc,Rhdi.s,Rhpu.s,Rhpu.t,Risa.s,Rodu.s,Roeg.s,Rogy.s,Romi.s,Ronu.s,Ropi.s,Ruac,Rula.s,Rule.s,Rupa.s,Rupr.s,Ruur.s,Sacr,Sado,Sagr,Seja,Siho,Smra,Smse,Syal.s,Taas,Taof,Tegr,Thoc,Toar,Trca,TRIF,Trla,Trov,Trpr,V.1,Valo,Viam,Viel.s,Vinu,VIOL,Zice
Stand01,91,44.48310089,123.3618011,1,SE.or.NW,315,0.910663009,0.914071202,Ridge,Open.slope.N.or.E,Poor,Amity,Alluvial,5,18,86,51,155,Yes,Yes,No,5,0.78,13.7,32,Quga.Rhdi,1,0,0,0,0,0,0,0.5,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0.200000003,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,182,0,53,0.5,0,0,0.5,3,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0,0.5,0,0,0,0
Stand02,106,44.66130066,123.2029037,7,SE.or.NW,315,0.852826595,0.893289208,Slope,Open.slope.N.or.E,Moderate,Peavine,Sedimentary,20,0,15,0,15,No,Yes,No,0,0,16.8,41,Quga.Rhdi,1,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0,0,2,0,0,0.200000003,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0.5,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.200000003,0,0,0,0,0,2,10,0,0,0,0,0,0,1,141,0,43,0,0,0,0.5,2,0.5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,12,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0,0.5,0,0,0,0
Stand03,152,44.76250076,123.2640991,6,S.or.W,180,0.944180489,0.930086553,Ridge,Open.slope.W.or.S,Well,Peavine,Sedimentary,18,0,53,0,53,Yes,Yes,No,9,1,22.2,35,Quga.Coco.Pomu,1,0,0,0,0,0.200000003,0,0,0.5,0,0,0,1,0,0,0,3,0,0,0,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0.200000003,0,0,0,0,0,0,0,2,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2,0,0,0,0,0,0,0,0,1,2,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.200000003,0,0,0,0,0,0,0,0,6,0,0,0,0,0.5,265,0,31,0.5,0,0,0,2,0,0,0.5,0,0,0,0,0,0,49,0,0.5,0,0,0,0,0,4,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0,0,0
Stand04,91,45.0080986,123.2232971,5,N.or.E,90,0.897357285,0.870120287,Slope,Ridges.NE,Moderate,Peavine,Sedimentary,5,0,25,107,132,No,No,No,0,0,15.8,33,Quga.Amal.Syal,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,23,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0.200000003,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.200000003,17,7,0,0,0,0.200000003,0,0,1,0,0,0,0,4,141,0,25,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0
Stand05,152,45.13809967,123.3355026,10,N.or.E,0,0.790015757,0.815012336,Slope,Sheltered.slope.W.or.S,Good,Nekia,Basic.igneous,20,30,15,0,46,No,No,No,2,0.48,24.4,32,Quga.Coco.Pomu,5,0,0.5,1,0,0.5,27,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.5,0,2,0,0,0,0,0,0,0,0,5,0,0.200000003,1,0,0,0,0,7,5,0,0.5,0,0,0,0,0.5,108,0,0.5,3,1,0,0,3,0,0,0.5,0,0,0,0,32,0,0.5,0,0,0,0,0,1,0,21,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0
Stand06,91,44.3973999,123.3215027,5,N.or.E,0,0.864995718,0.876277685,Slope,Sheltered.slope.W.or.S,Good,Nekia,Basic.igneous,28,0,64,51,114,Yes,Yes,No,1,0.3,18.9,51,Quga.Amal.Syal,1,0,0,0,0,5,2,0.5,3,0,0,0,0.5,0,0,0,12,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0.200000003,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.5,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0.5,0,0.5,0,0,0,0,0,0,0,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,11,0.5,0.200000003,0.5,2,0,0,0,0,0,0,6,0,0,0.200000003,0,8,134,0,13,0,0,0,0,7,0.5,0,1,0,0,0,0,0,0,3,0,0.5,0,0,0,0,0,18,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0
Stand07,213,43.90230179,123.3352966,6,SE.or.NW,135,0.938731492,0.904705703,Slope,Open.slope.N.or.E,Good,Peavine,Sedimentary,5,32,79,51,161,Yes,Yes,No,6,0.85,18.3,37,Quga.Rhdi,1,0,0,0,0,1,0.5,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0.5,0,0,3,39,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.200000003,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.200000003,0,0,0,0,0,0,0.5,0.5,0.200000003,0.5,0,0,0,0,0.5,0.5,0,0.5,0,0,0.5,0,3,130,0,24,0.5,0,0,0,0.200000003,0,0,0,0,0,0,0,0,0,2,0,0.5,0,0,0,0,0,0.200000003,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0,0,0
Stand08,106,45.38370132,123.1825027,11,SE.or.NW,315,0.80673033,0.870428741,Slope,Open.slope.N.or.E,Good,Carlton,Sedimentary,8,0,30,76,107,No,No,No,2,0.48,22.2,30,Quga.Amal.Syal,1,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,3,0,0,0.200000003,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0.200000003,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.200000003,0,0.5,0,0,0,0,0,0,0,0,0,0,0.200000003,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,254,0,22,0,0,0,0,0,2,0,0,0,0,0,0,0,0.200000003,0,1,0,0,0,0,0,0,50,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0.5,0
Stand09,167,45.39820099,123.2029037,10,SE.or.NW,315,0.818045557,0.875035286,Slope,Sheltered.slope.N.or.E,Moderate,Carlton,Sedimentary,43,0,76,51,127,No,No,No,1,0.3,15.8,29,Quga.Amal.Syal,1,0,0,0,0.200000003,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,6,0.5,0.200000003,0,0,0,0,0,3,3,0,0,0,0,0,0,0,156,0,33,0.5,0,0,0,2,0,0,4,0,0,0,0,0,0.200000003,4,0.5,0.5,0,0,0,0,0,64,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0
Stand10,167,45.32590103,123.1417007,7,SW,250,0.905640185,0.940629244,Ridge,Ridges.NE,Good,Steiwer,Sedimentary,13,28,0,30,58,No,No,No,5,0.78,22.6,38,Quga.Coco.Pomu,1,0,0,0,0,0.200000003,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,10,0,0,0,0,0,0,0,4,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0.5,7,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.200000003,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,4,0,0,0,0,0.200000003,0,0,0,0,2,0,0,0,178,0,27,0.5,0,0,0,11,3,0,0,0,0,0.5,0,0,0,7,0.5,0,0,0,0,0,0,56,0,0,0.5,0,2,0,0,0,0,0,0,0,0.5,0,0.5,0,0
Stand11,182,45.15259933,123.2640991,22,N.or.E,90,0.816286027,0.6895504,Slope,Sheltered.slope.W.or.S,Well,Nekia,Basic.igneous,13,13,91,0,104,Yes,Yes,No,2,0.48,22.9,35,Quga.Coco.Pomu,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,3,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0,0,0,0,0,0.5,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0.200000003,0,0,0,0,0,0,0,0,0,0,0.5,0,17,0,0.200000003,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,161,0,27,0.5,0,0,0,3,0.5,0,0,0,0,0,0,0.200000003,0,4,1,0.5,0,0,0,0,0,29,0,0.200000003,0.5,1,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0
