SpeciesCode,Genus,Species,GrowthForm,Notes
Abgr.s,Abies,grandis,Shrub,
Abgr.t,Abies,grandis,Tree,
Acar,Actea,arguta,Herb,
Acgld.t,Acer,glabrum var. douglasii,Tree,
Acma.s,Acer,macrophyllum,Shrub,
Acma.t,Acer,macrophyllum,Tree,
Acmi,Achillea,millefolium,Herb,
Adbi,Adenocaulon,bicolor,Herb,
Agha,Agrostis,hallii,Graminoid,
Agre,Agropyron,repens,Graminoid,
Agse,Agrostis,semiverticullata,Graminoid,Agrostis subsecundum
Agte,Agrostis,tenuis,Graminoid,
Aica,Aira,caryophyllea,Graminoid,
ALL,Allium,sp.,Herb,
Alpr,Alopecurus,pratensis,Graminoid,
Amal.s,Amelanchier,alnifolia,Shrub,
Amal.t,Amelanchier,alnifolia,Tree,
Apan,Apocynum,androsaemifolium,Herb,
Aqfo,Aquilegia,formosa,Herb,
Arel,Arrhenatherum,elatius,Graminoid,
Arme.s,Arbutus,menziesii,Shrub,
Arme.t,Arbutus,menziesii,Tree,
Avfa,Avena,fatua,Graminoid,
Beaq.s,Berberis,aquifolium,Shrub,
Brco,Bromus,commutatus,Graminoid,
Brla,Bromus,laevipes,Graminoid,
Brpu,Brodiaea,pulchella,Herb,
Brri,Bromus,rigidus,Graminoid,
Brse,Bromus,secalinus,Graminoid,
Brst,Bromus,sterilis,Graminoid,
Brvu,Bromus,vulgeris,Graminoid,
Caqu,Camassia,quamash,Herb,
CAR,Carex,sp.,Graminoid,
Cato,Calochortus,tolmiei,Herb,
Cear,Cerastium,arenses,Herb,
Ceum,Centaurium,umbellatum,Herb,
Ceve.s,Ceanothus,velutinus,Shrub,
Cipa,Circaea,pacifica,Herb,
Civu,Cirsium,vulgare,Herb,
Coco.s,Corylus,cornuta,Shrub,
Coco.t,Corylus,cornuta,Tree,
Cogr,Collomia,grandiflora,Herb,
Conu.s,Cornus,nuttallii,Shrub,
Conu.t,Cornus,nuttallii,Tree,
CORY.t,Corylus,sp.,Tree,
Cost,Corallorhiza,striata,Herb,
Crca,Crepis,capillaris,Herb,
Crdo.s,Crataegus,douglasii,Shrub,
Crdo.t,Crataegus,douglasii,Tree,
Crox.s,Crataegus,oxyacantha,Shrub,
Cyec,Cynosurus,echinatus,Graminoid,
Cyfo,Cystopteris,fragilis,Herb,
Cygr,Cynoglossum,grande,Herb,
Daca,Danthonia,californica,Graminoid,
Dacar,Daucus,carota,Herb,
Dagl,Dactylis,glomerata,Graminoid,
Deel,Deschampsia,elongata,Graminoid,
Diar,Dianthus,armeria,Herb,
Doel,Downingia,elegans,Herb,
Drar,Dryopteris,arguta,Herb,
Elgl,Elymus,glaucus,Graminoid,
Erla,Eriophyllum,lanatum,Herb,
Erog,Erythronium,oregonum,Herb,
Eucr,Euphorbia,crenulata,Herb,
Feca,Festuca,californica,Graminoid,
Fede,Festuca,dertonenses,Graminoid,
Feel,Festuca,elatior var. arendmaceae,Graminoid,
Feme,Festuca,megalura,Graminoid,
Feoc,Festuca,occidentalis,Graminoid,
Feru,Festuca,rubra,Graminoid,
Frbr,Fragaria,bracteata (vesca),Herb,
Frcu,Fragaria,cuneifolia,Herb,
Frla.s,Fraxinus,latifolia,Shrub,
Frla.t,Fraxinus,latifolia,Tree,
Frvi,Fragaria,virginiana,Herb,
GAL,Galium,sp.,Herb,
Gema,Geum,macrophyllum,Herb,
Geog,Geranium,oreganum (incisum),Herb,
Gepu,Geranium,pusillum,Herb,
Haob,Habenaria,orbiculata,Herb,
Haun,Habenaria,unalacensis,Herb,
Hehe.s,Hedera,helix,Shrub,
Heke,Hemizonia,kelloggii?,Herb,misspelled Hedera helix?
Hemi,Heuchera,micrantha,Herb,
Hodi.s,Holodiscus,discolor,Shrub,
Hola,Holcus,lanatus,Graminoid,
Hyoc,Hydrophyllum,occidentale,Herb,
Hype,Hypericum,perforatum,Herb,
Hyra,Hypochaeris,radicata,Herb,
Irte,Iris,tenax,Herb,
JUNC,Juncus,sp.,Graminoid,
Kocr,Koeleria,cristata,Graminoid,
Laco,Lapsana,communis,Herb,
Lapo,Lathyrus,polyphyllus,Herb,
Lasa,Lathyrus,sativus,Herb,Pisum sativum
Liap,Ligusticum,apiifolium,Herb,
Libu,Lithophragma,bulbifera,Herb,
Lico,Lilium,columbianum,Herb,
Lide.s,Calocedrus,decurrens,Shrub,Libocedrus decurrens
Lide.t,Calocedrus,decurrens,Tree,Libocedrus decurrens
LILI,Lilium,sp.,Herb,
Loci.s,Lonicera,ciliosa,Shrub,
Lope,Lolium,perenne,Graminoid,
LOT,Lotus,sp.,Herb,
Lotr,Lomatium,triternatum,Herb,
Lumu,Luzula,multiflora,Graminoid,
Maex,Madia,exigua,Herb,
MAL.s,Malvaceae,sp.,Shrub,Malus sp.?
MAL.t,Malvaceae,sp.,Tree,Malus sp.?
Maor,Marah,oreganus,Herb,
Mebu,Melica,bulbosa,Graminoid,
Mila,Microseris,laciniata,Herb,
Mope,Montia,perfoliata,Herb,
Mosi,Montia,sibirica,Herb,
Nepa,Nemophylla,parviflora,Herb,
ONGR,Onagraceae,sp.,Herb,
Osce.s,Oemleria,cerasiformis,Shrub,Osmaronia cerasiformis
Osce.t,Oemleria,cerasiformis,Tree,Osmaronia cerasiformis
Osnu,Osmorhiza,nuda,Herb,Osmorhiza chilensis
Phca.s,Physocarpus,capitatus,Shrub,
Phle.s,Philadelphus,lewisii,Shrub,
Phpr,Phleum,pratense,Graminoid,
Phvi.s,Phoradendron,villosum,Shrub,
Pipo.s,Pinus,ponderosa,Shrub,
Pipo.t,Pinus,ponderosa,Tree,
Plla,Plantago,lanceolata,Herb,
Poco,Poa,compressa,Graminoid,
Pogl,Potentilla,glandulosa,Herb,
Pogr,Potentilla,gracilis,Herb,
Pomu,Polystichum,munitum,Herb,
Popr,Poa,pratensis,Graminoid,
Povu,Polypodium,vulgare,Herb,
Prav.s,Prunus,avium,Shrub,
Prav.t,Prunus,avium,Tree,
Prde.s,Prunus,virginiana var. demissa,Shrub,
Prde.t,Prunus,virginiana var. demissa,Tree,
Prvu,Prunella,vulgeris,Herb,
Psme.s,Pseudotsuga,menziesii,Shrub,
Psme.t,Pseudotsuga,menziesii,Tree,
Ptan,Pterospora,andromedia,Herb,
Ptaq,Pteridium,aquilinum var. lanuginosum,Herb,
Pyco.s,Pyrus,communis,Shrub,
Pyco.t,Pyrus,communis,Tree,
Pyfu.s,Pyrus,fusca,Shrub,
Pyfu.t,Pyrus,fusca,Tree,
Quga.s,Quercus,garryana,Shrub,
Quga.t,Quercus,garryana,Tree,
Raoc,Ranunculus,occidentalis,Herb,
Rhdi.s,Rhus,diversiloba,Shrub,
Rhpu.s,Rhamnus,purshiana,Shrub,
Rhpu.t,Rhamnus,purshiana,Tree,
Risa.s,Ribes,sanguinius,Shrub,
Rodu.s,Rosa???,,Shrub,Rosa durandii?
Roeg.s,Rosa,eglanteria,Shrub,
Rogy.s,Rosa,gymnocarpa,Shrub,
Romi.s,Rosa,micrantha?,Shrub,
Ronu.s,Rosa,nutkana,Shrub,
Ropi.s,Rosa,pisocarpa,Shrub,
Ruac,Rumex,acetosella,Herb,
Rula.s,Rubus,laciniatus,Shrub,
Rule.s,Rubus,leucodermus,Shrub,
Rupa.s,Rubus,parvifloris,Shrub,
Rupr.s,Rubus,procerus,Shrub,
Ruur.s,Rubus,ursinus,Shrub,
Sacr,Sanicula,crassicaulis,Herb,
Sado,Satureja,douglasii,Herb,
Sagr,Sanicula,graveolens,Herb,
Seja,Senecio,jacobaea,Herb,
Siho,Silene,hookeri,Herb,
Smra,Smilacina,racemosa,Herb,
Smse,Smilacina,sessilifolia,Herb,
Syal.s,Symphoricarpus,albus,Shrub,
Taas,Taeniatherum,asperum,Graminoid,
Taof,Taraxacum,officinale,Herb,
Tegr,Tellima,grandiflora,Herb,
Thoc,Thalictrum,occidentale,Herb,
Toar,Torilis,arvensis,Herb,
Trca,Trisetum,canescens,Graminoid,
TRIF,Trifolium,sp,Herb,
Trla,Trientalis,latifolia,Herb,
Trov,Trillium,ovatum,Herb,
Trpr,Trifolium,procumbens,Herb,
V.1,Vicia,sp.,Herb,
Valo,Valerianella,locusta,Herb,
Viam,Vicia,americana,Herb,
Viel.s,Viburnum,ellipticum,Shrub,
Vinu,Viola,nuttallii,Herb,
VIOL,Viola,sp,Herb,
Zice,Zygadenus,venosus,Herb,
